水平(h)或倾斜(S),长度或高度,坡比
S,15,0.3
H,2,0
S,15,0.3
H,2,0
S,15,0.3
H,2,0
S,15,0.3
H,8,0
S,15,0.3
H,2,0
S,15,0.3
H,2,0
S,15,0.3
H,2,0
S,15,0.3
H,8,0
S,15,0.3
H,2,0
S,15,0.3
H,2,0
S,15,0.3
H,2,0
S,15,0.3
H,8,0
S,15,0.3
H,2,0
S,15,0.3
H,2,0
S,15,0.3
H,2,0
S,15,0.3
H,8,0
S,15,0.3
H,2,0
S,15,0.3
H,2,0
S,15,0.3
H,2,0
S,15,0.3
H,8,0
S,15,0.3
H,2,0
S,15,0.3
H,2,0
S,15,0.3
H,2,0
S,15,0.3
H,8,0
S,15,0.3
H,2,0
S,15,0.3
H,2,0
S,15,0.3
H,2,0
S,15,0.3
H,8,0
S,15,0.3
H,2,0
S,15,0.3
H,2,0
S,15,0.3
H,2,0
S,15,0.3
H,8,0
S,15,0.3
H,2,0
S,15,0.3
H,2,0
S,15,0.3
H,2,0
S,15,0.3
